,Unnamed: 0,YEAR,SAMPLE,SERIAL,CBSERIAL,HHWT,CLUSTER,STATEFIP,COUNTYFIP,STRATA,GQ,PERNUM,PERWT,SEX,AGE,EDUC,EDUCD,EMPSTAT,EMPSTATD,INCTOT,unemployed
9235894,9235894,2015,201501,841867,604468.0,48.0,2015008418671,36,5.0,370136,1,1,48.0,2,57,2,26,1,10,48000,0
2213468,2213468,2007,200701,453111,1319837.0,28.0,2007004531111,17,0.0,270017,1,1,28.0,2,45,8,81,1,10,51000,0
8595937,8595937,2015,201501,558803,1495598.0,121.0,2015005588031,22,73.0,40022,1,3,243.0,2,46,10,101,1,10,36100,0
10042850,10042850,2015,201501,1201299,736504.0,64.0,2015012012991,48,0.0,500048,1,2,83.0,2,82,6,63,3,30,11400,0
11812763,11812763,2019,201901,596673,2019000474421.0,521.0,2019005966731,24,31.0,100524,2,9,417.0,2,17,4,40,3,30,0,0
6511766,6511766,2011,201101,1019492,910799.0,39.0,2011010194921,41,0.0,30041,1,4,77.0,2,45,8,81,2,20,670,1
2825632,2825632,2007,200701,737722,880078.0,72.0,2007007377221,31,0.0,30031,1,1,68.0,2,94,2,24,3,30,8600,0
12786295,12786295,2019,201901,1033109,2019000091087.0,68.0,2019010331091,40,109.0,100440,1,2,70.0,2,27,7,71,2,20,0,1
4675950,4675950,2011,201101,199804,1370289.0,100.0,2011001998041,6,73.0,811406,1,4,75.0,2,16,4,40,3,30,0,0
9791198,9791198,2015,201501,1092215,1167203.0,56.0,2015010922151,44,0.0,30044,1,2,32.0,2,62,8,81,3,30,29830,0
12907718,12907718,2019,201901,1089791,2019000443240.0,56.0,2019010897911,42,19.0,160042,1,1,56.0,2,43,10,101,1,10,56000,0
3776657,3776657,2007,200701,1176247,444484.0,71.0,2007011762471,48,201.0,461948,1,4,96.0,2,68,6,61,3,30,0,0
13465546,13465546,2019,201901,1330714,2019000347980.0,41.0,2019013307141,51,0.0,5111051,1,1,41.0,1,94,6,63,3,30,16800,0
3372057,3372057,2007,200701,987900,1297138.0,21.0,2007009879001,39,0.0,290039,1,1,21.0,1,50,8,81,1,10,60000,0
5249912,5249912,2011,201101,454819,1456340.0,132.0,2011004548191,17,31.0,351317,1,3,193.0,2,38,6,63,2,20,0,1
10594852,10594852,2019,201901,65721,2019000895670.0,66.0,2019000657211,5,0.0,180005,1,2,72.0,2,60,6,63,3,30,0,0
8481634,8481634,2015,201501,506508,133191.0,50.0,2015005065081,20,0.0,130420,1,4,66.0,2,15,3,30,0,0,0,0
2168556,2168556,2007,200701,433605,838978.0,99.0,2007004336051,17,0.0,310217,1,2,89.0,1,63,5,50,3,30,13200,0
10474359,10474359,2019,201901,12583,2019000706138.0,55.0,2019000125831,1,0.0,250001,1,2,48.0,1,40,6,63,3,30,9000,0
12110412,12110412,2019,201901,731309,2019010131686.0,238.0,2019007313091,29,510.0,190229,4,1,238.0,1,55,11,114,3,30,0,0
2563697,2563697,2007,200701,614627,24712.0,53.0,2007006146271,26,25.0,280026,1,2,48.0,2,63,8,81,1,10,58000,0
2009278,2009278,2007,200701,363289,590762.0,83.0,2007003632891,13,89.0,120113,1,1,83.0,1,47,11,115,1,10,180000,0
12537151,12537151,2019,201901,917813,2019001309566.0,233.0,2019009178131,36,47.0,401436,1,2,246.0,2,73,6,63,3,30,12000,0
3706072,3706072,2007,200701,1145591,22408.0,71.0,2007011455911,48,0.0,450348,1,2,66.0,2,63,6,62,3,30,20100,0
9248362,9248362,2015,201501,847263,701162.0,70.0,2015008472631,36,81.0,411236,1,2,110.0,1,65,10,101,1,10,50000,0
5321114,5321114,2011,201101,486837,73878.0,19.0,2011004868371,19,0.0,130019,1,3,24.0,2,19,6,63,1,10,5000,0
9414510,9414510,2015,201501,920746,945808.0,87.0,2015009207461,37,183.0,120837,1,2,94.0,2,48,10,101,1,10,32250,0
2773842,2773842,2007,200701,713210,660308.0,82.0,2007007132101,29,189.0,170229,1,2,82.0,1,36,6,62,1,10,33000,0
13391266,13391266,2019,201901,1298920,2019001351296.0,14.0,2019012989201,48,0.0,100048,1,1,14.0,1,56,6,63,1,10,45000,0
8733469,8733469,2015,201501,620532,1424435.0,98.0,2015006205321,25,0.0,40025,1,2,93.0,2,65,11,114,3,30,55010,0
12233643,12233643,2019,201901,785491,2019000272021.0,17.0,2019007854911,33,0.0,20033,1,1,17.0,1,65,7,71,1,10,469000,0
1634276,1634276,2007,200701,187453,1168223.0,100.0,2007001874531,6,73.0,811506,1,1,102.0,2,86,6,62,3,30,20400,0
12235775,12235775,2019,201901,786415,2019000507005.0,31.0,2019007864151,33,0.0,80033,1,1,31.0,2,70,6,65,1,10,41700,0
5894960,5894960,2011,201101,745923,636121.0,679.0,2011007459231,32,0.0,40032,1,1,679.0,1,23,7,71,1,10,20000,0
8961496,8961496,2015,201501,722988,1024127.0,65.0,2015007229881,29,0.0,10029,1,1,65.0,2,67,6,65,3,30,20300,0
7284163,7284163,2011,201101,1359131,1209014.0,34.0,2011013591311,55,0.0,150055,1,2,35.0,2,68,6,65,3,30,10100,0
9807345,9807345,2015,201501,1099750,430500.0,55.0,2015010997501,45,0.0,10145,1,1,55.0,2,68,4,40,3,30,41400,0
12168252,12168252,2019,201901,756455,2019001357276.0,81.0,2019007564551,29,0.0,280029,1,1,81.0,1,68,7,71,1,10,135800,0
7436515,7436515,2015,201501,59873,698951.0,14.0,2015000598731,5,0.0,30005,1,1,14.0,1,31,10,101,1,10,60000,0
9455923,9455923,2015,201501,939679,790807.0,21.0,2015009396791,38,0.0,10038,1,2,21.0,1,65,7,71,1,10,68000,0
9355063,9355063,2015,201501,893692,22021.0,60.0,2015008936921,37,183.0,120637,1,1,61.0,1,70,11,114,3,30,55000,0
7918826,7918826,2015,201501,255219,378442.0,72.0,2015002552191,10,3.0,10310,1,1,72.0,2,61,10,101,1,10,168510,0
7334474,7334474,2015,201501,15264,1052239.0,49.0,2015000152641,1,0.0,50001,1,1,48.0,1,86,6,64,3,30,19030,0
5912110,5912110,2011,201101,753157,228681.0,25.0,2011007531571,33,0.0,10033,1,1,25.0,1,76,6,63,3,30,14100,0
12454010,12454010,2019,201901,883891,2019000682551.0,170.0,2019008838911,36,103.0,331036,1,6,135.0,1,55,6,63,1,10,60000,0
13442327,13442327,2019,201901,1318990,2019010029435.0,150.0,2019013189901,51,0.0,5115451,4,1,150.0,1,44,6,63,1,14,69200,0
10124765,10124765,2015,201501,1235394,1218110.0,71.0,2015012353941,48,183.0,160048,1,1,71.0,2,31,6,63,1,10,11300,0
5998386,5998386,2011,201101,789303,1274910.0,261.0,2011007893031,34,23.0,90234,1,1,261.0,2,36,11,114,1,10,86000,0
10867487,10867487,2019,201901,178094,2019000955285.0,108.0,2019001780941,6,37.0,373506,1,1,108.0,2,29,8,81,1,10,29000,0
1310529,1310529,2007,200701,53596,20755.0,32.0,2007000535961,5,0.0,120005,1,1,31.0,1,33,2,21,1,10,20000,0
4131129,4131129,2007,200701,1332914,121101.0,116.0,2007013329141,55,0.0,130055,1,3,2.0,2,18,6,62,1,10,3900,0
11297525,11297525,2019,201901,364634,2019001398292.0,150.0,2019003646341,12,9.0,90112,1,1,150.0,1,61,7,71,1,10,44000,0
8428793,8428793,2015,201501,482156,1085450.0,59.0,2015004821561,18,3.0,100118,1,1,59.0,1,85,6,63,3,30,38500,0
3136067,3136067,2007,200701,877530,1176798.0,79.0,2007008775301,36,0.0,340036,1,3,122.0,2,25,6,65,2,20,0,1
8197868,8197868,2015,201501,381870,1099529.0,72.0,2015003818701,13,0.0,130013,1,1,72.0,2,56,7,71,3,30,14400,0
5724944,5724944,2011,201101,669018,449009.0,28.0,2011006690181,27,0.0,90027,1,2,26.0,2,56,6,65,1,10,2000,0
12967281,12967281,2019,201901,1115590,2019001132492.0,74.0,2019011155901,42,0.0,80142,1,1,74.0,1,47,6,64,1,10,76000,0
9556853,9556853,2015,201501,985644,1241438.0,63.0,2015009856441,39,0.0,370039,1,2,44.0,2,51,6,63,1,10,38000,0
7233654,7233654,2011,201101,1336312,1284236.0,53.0,2011013363121,54,0.0,20054,1,6,77.0,2,19,6,63,1,10,10000,0
4827155,4827155,2011,201101,266803,127648.0,38.0,2011002668031,12,11.0,360612,1,2,32.0,1,80,6,63,1,10,119800,0
8669563,8669563,2015,201501,591085,15961.0,30.0,2015005910851,25,0.0,190025,1,2,54.0,2,58,8,81,3,30,10400,0
12768403,12768403,2019,201901,1024128,2019001240648.0,75.0,2019010241281,39,49.0,411139,1,2,78.0,2,55,6,65,1,10,3700,0
6727996,6727996,2011,201101,1118922,106614.0,47.0,2011011189221,47,37.0,220147,1,1,48.0,2,42,6,63,3,30,0,0
7199601,7199601,2011,201101,1320768,1111408.0,116.0,2011013207681,53,0.0,40053,1,2,143.0,1,41,7,71,1,10,60000,0
12300727,12300727,2019,201901,814472,2019000892371.0,76.0,2019008144721,34,25.0,110434,1,1,75.0,2,42,8,81,3,30,900,0
3552940,3552940,2007,200701,1073003,1106181.0,131.0,2007010730031,42,129.0,210342,1,2,100.0,2,25,6,62,3,30,0,0
12938132,12938132,2019,201901,1102894,2019000793269.0,41.0,2019011028941,42,11.0,270342,1,3,63.0,2,30,6,63,1,10,22200,0
11864173,11864173,2019,201901,620532,2019000181215.0,61.0,2019006205321,25,0.0,30225,1,2,63.0,1,34,7,71,1,10,42000,0
1608320,1608320,2007,200701,176800,1065045.0,60.0,2007001768001,6,65.0,800306,1,1,60.0,2,47,10,101,1,10,101000,0
2077208,2077208,2007,200701,393581,120514.0,80.0,2007003935811,16,27.0,50016,1,1,82.0,1,27,7,71,1,10,39000,0
11456669,11456669,2019,201901,436146,2019000220620.0,121.0,2019004361461,17,0.0,290117,1,1,121.0,1,68,6,63,3,30,28120,0
2860518,2860518,2007,200701,753371,271914.0,113.0,2007007533711,33,0.0,70033,1,1,112.0,1,64,10,101,1,10,25700,0
6917176,6917176,2011,201101,1200344,795200.0,48.0,2011012003441,48,141.0,350248,1,2,44.0,1,23,7,71,1,10,61000,0
2205725,2205725,2007,200701,449739,1238685.0,87.0,2007004497391,17,0.0,140017,1,2,110.0,2,16,4,40,1,10,1000,0
1372398,1372398,2007,200701,80841,134549.0,73.0,2007000808411,6,1.0,240506,1,2,78.0,2,56,11,114,3,30,4200,0
9128394,9128394,2015,201501,795061,1330293.0,22.0,2015007950611,34,0.0,250034,1,1,22.0,2,45,8,81,1,10,75000,0
12438040,12438040,2019,201901,877419,2019000563592.0,59.0,2019008774191,36,83.0,190036,1,2,65.0,1,30,7,71,3,30,0,0
7711979,7711979,2015,201501,169421,1048402.0,184.0,2015001694211,6,65.0,650106,1,1,184.0,1,36,6,64,1,10,45000,0
2522781,2522781,2007,200701,595932,541420.0,68.0,2007005959321,25,9.0,90025,1,1,69.0,1,32,10,101,1,10,61100,0
7736336,7736336,2015,201501,178908,1146215.0,54.0,2015001789081,6,37.0,372306,1,2,49.0,2,68,10,101,3,30,3000,0
2139916,2139916,2007,200701,421116,527190.0,68.0,2007004211161,17,31.0,341017,1,1,68.0,1,82,0,2,3,30,22400,0
4639498,4639498,2011,201101,185362,1221741.0,100.0,2011001853621,6,37.0,541606,1,3,90.0,2,22,10,101,1,10,12800,0
9873571,9873571,2015,201501,1130038,536659.0,63.0,2015011300381,47,0.0,70047,4,1,63.0,1,19,6,63,2,20,0,1
4416552,4416552,2011,201101,97041,315447.0,232.0,2011000970411,6,29.0,390106,1,2,258.0,1,68,1,16,3,30,15100,0
8694479,8694479,2015,201501,602607,569670.0,99.0,2015006026071,25,0.0,360325,1,1,99.0,1,89,7,71,3,30,64000,0
11659544,11659544,2019,201901,526345,2019000008292.0,111.0,2019005263451,20,0.0,80220,1,1,111.0,1,42,5,50,1,10,52000,0
13250072,13250072,2019,201901,1243175,2019000593067.0,235.0,2019012431751,48,423.0,150248,1,1,236.0,1,92,10,101,3,30,35600,0
10999408,10999408,2019,201901,228938,2019000292142.0,62.0,2019002289381,8,0.0,100208,1,1,61.0,1,72,6,63,3,30,31100,0
10763328,10763328,2019,201901,139188,2019000550049.0,64.0,2019001391881,6,37.0,372706,1,1,65.0,2,36,7,71,1,10,59000,0
8895216,8895216,2015,201501,692773,244019.0,11.0,2015006927731,28,0.0,160028,1,1,11.0,2,61,7,71,1,10,4500,0
10621621,10621621,2019,201901,86402,2019000000209.0,38.0,2019000864021,6,67.0,670806,1,4,31.0,1,18,6,63,3,30,3000,0
9333724,9333724,2015,201501,884342,1359685.0,93.0,2015008843421,36,0.0,270136,1,1,93.0,2,45,11,114,3,30,18000,0
6654285,6654285,2011,201101,1084706,1474000.0,53.0,2011010847061,42,0.0,120042,1,2,63.0,2,32,11,114,1,10,49900,0
1598704,1598704,2007,200701,172851,1027185.0,157.0,2007001728511,6,37.0,541306,1,2,225.0,2,71,10,101,3,30,9600,0
10436490,10436490,2015,201501,1370042,1348490.0,232.0,2015013700421,55,79.0,4010155,1,1,232.0,2,63,11,116,1,10,116750,0
