OBJECTID,stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_route,routes,route_filter,route_sort,mode,direction,trips_wd,trips_sa,trips_su,trips_7d,svc_days,agency,feed_version,start_date,end_date,from_gtfs,change_log,comments,status_code,status_notes,status_start_date,status_end_date,GEOIDFQ,county,muni,hood,munihood_full,munihood_display,empty_feat,x,y,,,,,,,,Count,median_housing_cost,,,,,,
198441,S01290,10885,2ND ST AT GRANT AVE,40.37303,-79.846878,S01290,"52L,61C,P7",All Routes,00,BUS,IB,80,49,31,480,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001007,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846878,40.37303,,,,,,,,22,140304,,,,,,
198442,S01280,10988,2ND ST AT GRANT AVE,40.37326,-79.847059,S01280,"59,61C",All Routes,00,BUS,"IB,OB",87,67,45,547,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034867002009,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.847059,40.37326,,,,,,,,108,231106,,,,,,
198443,S01290,10885,2ND ST AT GRANT AVE,40.37303,-79.846878,S01290-P7,P7,P7,P7,BUS,IB,11,0,0,55,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001007,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846878,40.37303,,,,,,,,115,115755,,,,,,
198444,S01300,16606,2ND ST AT HAMILTON AVE,40.375027,-79.848608,S01300-59,59,59,59,BUS,IB,26,18,14,162,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034867002008,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.848608,40.375027,,,,,,,,79,231106,,,,,,
198445,S01300,16606,2ND ST AT HAMILTON AVE,40.375027,-79.848608,S01300-61C,61C,61C,61C,BUS,OB,61,49,31,385,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034867002008,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.848608,40.375027,,,,,,,,21,402264,,,,,,
198446,S01300,16606,2ND ST AT HAMILTON AVE,40.375027,-79.848608,S01300,"59,61C",All Routes,00,BUS,"IB,OB",87,67,45,547,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034867002008,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.848608,40.375027,,,,,,,,118,192194,,,,,,
198447,S01330,10884,2ND ST AT KENNEDY AVE,40.371792,-79.846339,S01330-59,59,59,59,BUS,OB,26,18,14,162,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001014,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846339,40.371792,,,,,,,,142,102905,,,,,,
198448,S01330,10884,2ND ST AT KENNEDY AVE,40.371792,-79.846339,S01330-52L,52L,52L,52L,BUS,IB,8,0,0,40,WD,PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001014,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846339,40.371792,,,,,,,,41,120264,,,,,,
198449,S01330,10884,2ND ST AT KENNEDY AVE,40.371792,-79.846339,S01330-61C,61C,61C,61C,BUS,IB,61,49,31,385,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001014,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846339,40.371792,,,,,,,,89,97186,,,,,,
198450,S01330,10884,2ND ST AT KENNEDY AVE,40.371792,-79.846339,S01330,"52L,59,61C,P7",All Routes,00,BUS,"IB,OB",106,67,45,642,"WD,SA,SU",PRT,2510,10/19/25 6:00,12/31/99 6:00,1,,,1,,1/1/70 6:00,12/31/99 6:00,1000000US420034868001014,"Allegheny County, PA","Duquesne city (Allegheny, PA)",,"Duquesne city, Allegheny County",Duquesne city,0,-79.846339,40.371792,,,,,,,,,,,,,,,
